"Cell_Type","Comparison","Statistic","P_Value","P_Adjusted"
"B.cells.memory","Medium-High",2.43986328465717,0.0146928212341303,0.0440784637023908
"Dendritic.cells.resting","Low-Medium",3.03429415872886,0.00241099221070872,0.00723297663212615
"Eosinophils","Low-High",2.5110819444491,0.0120361753827954,0.0361085261483862
"Macrophages.M1","Medium-High",-4.96594774479988,6.83663631850226e-07,2.05099089555068e-06
"Macrophages.M1","Low-High",-4.31127531971359,1.62315650845358e-05,2.43473476268037e-05
"Macrophages.M2","Low-High",4.4922349927,7.04795923220834e-06,2.1143877696625e-05
"Macrophages.M2","Medium-High",2.28027146895279,0.0225915928608136,0.0338873892912205
"Mast.cells.resting","Low-High",2.66491164269725,0.00770085532036782,0.0231025659611034
"Plasma.cells","Low-High",-3.92719143378776,8.59435748214035e-05,0.000257830724464211
"T.cells.CD4.memory.activated","Low-High",-3.08114733893419,0.00206204584121852,0.00618613752365556
"T.cells.CD4.naive","Low-High",-2.60098088883301,0.00929576323592367,0.027887289707771
"T.cells.CD8","Low-High",-3.45831745502483,0.000543560487026756,0.00163068146108027
"T.cells.follicular.helper","Low-High",4.27513657089077,1.91020164276457e-05,5.73060492829372e-05
"T.cells.follicular.helper","Medium-High",2.24974714481505,0.0244650009477756,0.0366975014216634
"T.cells.regulatory..Tregs.","Medium-High",-2.60641183590994,0.00914963753895386,0.0274489126168616
